transaction_id,customer_id,timestamp,merchant_category,device_type,is_card_present,location_country,distance_from_home_km,failed_attempts_last_24h,ip_risk_score,customer_avg_amount_30d,amount,amount_to_avg_ratio,hour_of_day,is_night_transaction,velocity_1h,velocity_24h,is_fraud
TXN_144519,CUST_0001,2026-07-01 03:23:12,Gas Station,POS Terminal,1,Domestic,12.46,1,0.011,60.221443415613166,56.08,0.93,3,1,1,1,0
TXN_105671,CUST_0001,2026-07-02 15:18:08,Restaurants,Mobile App,0,Domestic,3.23,0,0.034,60.221443415613166,111.08,1.84,15,0,1,1,0
TXN_128835,CUST_0001,2026-07-04 01:38:14,Restaurants,Mobile App,0,Domestic,7.97,0,0.067,60.221443415613166,87.9,1.46,1,1,1,1,0
TXN_142580,CUST_0001,2026-07-04 07:29:52,Grocery,Web Browser,0,Domestic,24.66,0,0.001,60.221443415613166,96.19,1.6,7,0,1,2,0
TXN_129302,CUST_0001,2026-07-05 23:23:51,Electronics,Mobile App,0,Domestic,39.65,0,0.009,60.221443415613166,60.44,1.0,23,0,1,1,0
TXN_136187,CUST_0001,2026-07-06 01:29:25,Electronics,POS Terminal,1,Domestic,40.0,0,0.217,60.221443415613166,45.42,0.75,1,1,1,2,0
TXN_140629,CUST_0001,2026-07-08 08:43:04,Restaurants,Web Browser,0,Domestic,1.0,1,0.072,60.221443415613166,42.57,0.71,8,0,1,1,0
TXN_132371,CUST_0001,2026-07-11 04:03:18,Gas Station,Web Browser,0,Domestic,23.02,0,0.035,60.221443415613166,73.29,1.22,4,1,1,1,0
TXN_141944,CUST_0001,2026-07-11 08:52:59,Grocery,Web Browser,0,Domestic,11.35,0,0.215,60.221443415613166,41.71,0.69,8,0,1,2,0
TXN_114553,CUST_0001,2026-07-12 23:19:09,Restaurants,Web Browser,0,Domestic,27.46,0,0.009,60.221443415613166,38.44,0.64,23,0,1,1,0
TXN_128317,CUST_0001,2026-07-13 07:48:25,Grocery,POS Terminal,1,Domestic,11.46,0,0.241,60.221443415613166,47.62,0.79,7,0,1,2,0
TXN_122255,CUST_0001,2026-07-13 18:20:35,Restaurants,Web Browser,0,Domestic,11.12,1,0.019,60.221443415613166,15.59,0.26,18,0,1,3,0
TXN_140473,CUST_0001,2026-07-15 05:42:36,Electronics,POS Terminal,1,Foreign High Risk,2307.26,0,0.0,60.221443415613166,39.25,0.65,5,1,1,1,0
TXN_111207,CUST_0001,2026-07-15 11:19:01,Online Retail,POS Terminal,1,Domestic,20.52,0,0.039,60.221443415613166,62.84,1.04,11,0,1,2,0
TXN_127793,CUST_0001,2026-07-18 11:09:58,Restaurants,POS Terminal,1,Domestic,62.77,0,0.008,60.221443415613166,50.43,0.84,11,0,1,1,0
TXN_114357,CUST_0001,2026-07-18 15:05:15,Grocery,Web Browser,0,Domestic,31.47,0,0.013,60.221443415613166,100.33,1.67,15,0,1,2,0
TXN_110050,CUST_0001,2026-07-20 05:23:12,Travel & Flights,Web Browser,0,Domestic,10.02,0,0.015,60.221443415613166,52.28,0.87,5,1,1,1,0
